						
						
	titulo	fonte	binario	motivo	autor	link
14	Aplicativo gratuito que faz você falar 5 idiomas instantaneamente	Blog Verdade Absoluta da Tia Maria	farsa	Afirmação milagrosa: aprender idiomas instantaneamente. Fonte é blog pessoal. 	Não informado	
15	Bebida natural que faz qualquer pessoa viver até os 200 anos	Agência Teorias & Mistérios	farsa	Afirmação impossível: longevidade de 200 anos sem comprovação. Fonte não confiável.	Denise Peixoto	
16	Governo esconde tecnologia que poderia acabar com a conta de luz	Agência Teorias & Mistérios	farsa	Conteúdo conspiratório: insinuação de ocultação de tecnologia sem provas. Fonte não confiável.	André Soares	
17	Elites secretas planejam controlar a mente das pessoas através da internet	Revista Celebridades Agora	farsa	Conteúdo conspiratório: alegação de controle mental sem evidências. Fonte não confiável.	Camila Ventura	
18	Organização mundial escondeu provas da vida extraterrestre em 2023	Agência Boca a Boca 	farsa	Conteúdo conspiratório: ocultação de provas sobre extraterrestres sem fonte confiável.	Rafael Lima	
19	Pesquisadores dizem que café pode curar depressão	Diário Sobrenatural 	farsa	"Falta de fonte confiável: uso vago de ""pesquisadores dizem"" sem citar estudo. "	Thiago Rocha	
20	Estudos apontam que assistir TV aumenta inteligência	POrtal Só Se For Verdade 	farsa	Falta de fonte confiável: generalização sem referência a pesquisas reais.	Renata Barros	
21	Cientistas garantem: andar descalço atrai riqueza	Portal Só Se For Verdade 	farsa	"Alegação sem evidência: uso indevido de ""cientistas garantem"" sem base científica. Publicado em site sensacionalista."	Não informado	
22	Fique rico em 1 semana investindo apenas 10 reais	Portal Segredo Revelado 	farsa	Promessa irreal: enriquecimento rápido com baixo investimento. 	Não informado	
23	Trabalhe só 2 horas por dia e ganhe 50 mil por mês	Anúncio	farsa	Promessa irreal: retorno financeiro desproporcional à carga de trabalho. Fonte é anúncio sem credibilidade.	Camila Ventura	
24	Segredo dos milionários revelado: como transformar 1 real em 1000 reais em 3 dias	Anúncio	farsa	Promessa irreal: multiplicação de dinheiro em prazo curto sem comprovação. Fonte é anúncio sem credibilidade.	Renata Barros	
25	Algo incrível aconteceu e você precisa saber agora	Portal Só Se For Verdade 	farsa	Título vago e apelativo: ausência de informação clara. Publicado em portal sensacionalista.	Não informado	
26	Ministério da Saúde divulga calendário de vacinação contra gripe em 2025	gov.br	verdade	Menciona fontes confiáveis: Ministério da Saúde, títulos objetivos e diretos	Não informado	https://infoms.saude.gov.br/extensions/SEIDIGI_DEMAS_INFLUENZA_2025_RESIDENCIA/SEIDIGI_DEMAS_INFLUENZA_2025_RESIDENCIA.html#:~:text=Por%20isso%2C%20em%202025%2C%20a,Norte%20acontecerá%20no%20segundo%20semestre.
27	Temperataura global aumenta 1.6 graus e segue subindo	Jornal da USP	verdade	Menciona fontes confiáveis: Jornal da USP, dados consistentes com pesquisas climáticas.	Júlio Bernardes	https://jornal.usp.br/ciencias/temperatura-global-aumenta-16c-e-segue-subindo-e-como-tentar-parar-um-caminhao-em-alta-velocidade/
28	Pinacoteca de São Paulo inaugura exposição sobre arte moderna	Agência Brasil	verdade	Menciona data ou local específico: Pinacoteca de SP inaugura exposição. Fonte confiável: Agência Brasil.	Camila Boehm	https://agenciabrasil.ebc.com.br/cultura/noticia/2016-10/pinacoteca-de-sao-paulo-inaugura-exposicao-sobre-arte-moderna
29	IBGE divulga dados sobre crescimento populacional no Brasil em 2025	Portal do IBGE	verdade	Menciona fontes confiáveis: IBGE, dados estatísticos consistentes e verificáveis.	Estatísticas Sociais | Pedro Renaux	https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/44305-populacao-estimada-do-pais-chega-a-213-4-milhoes-de-habitantes-em-2025
30	Estudo da USP analisa impacto da poluição do ar na saúde infantil	Jornal da USP	verdade	Menciona estudos confiáveis: estudo acadêmico da USP publicado e verificado.	Sophia Vieira*	https://jornal.usp.br/atualidades/qualidade-do-ar-pode-ser-fator-diferencial-para-a-sobrevivencia-e-o-desenvolvimento-de-criancas/
31	Governo federal anuncia programa de preservação da Mata Atlântica	gov.br	verdade	Menciona fontes confiáveis: governo federal, plano detalhado e consistente.	Ministério do Meio Ambiente e Mudança do Clima	https://www.gov.br/mma/pt-br/noticias/dia-da-mata-atlantica-conheca-o-plano-para-prevencao-e-controle-do-desmatamento-no-bioma
32	MCTI lança programa Bolsa Futuro Digital para formar profissionais para área de tecnologia	gov.br	verdade	Menciona fontes confiáveis: MCTI, anúncio público registrado no gov.br.	gov	https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias/2025/05/mcti-lanca-programa-bolsa-futuro-digital-para-formar-profissionais-para-area-de-tecnologia
33	"Enem 2025 supera 5 milhões de inscritos em todo o país; veja os números por estado"	Quero Bolsa	verdade	Menciona fontes confiáveis: portal educacional especializado em vestibulares e Enem.	João Marcondes	https://querobolsa.com.br/revista/enem-2025-numeros-por-estado
34	Brasil registrou 278,3 mil focos de incêndio em 2024, diz Inpe	CNN Brasil	verdade	Menciona fontes confiáveis: CNN Brasil com dados oficiais do Inpe.	João Scavacin e Thomaz Coelho	https://www.cnnbrasil.com.br/nacional/brasil-registrou-2783-mil-focos-de-incendio-em-2024-diz-inpe/
35	Cientista brasileira ganha 'Oscar Verde' por conservação de onças-pintadas e ararinhas-azuis no Paraná	Portal g1	verdade	Menciona especialistas reais e fonte confiável: cientistas responsáveis e Portal g1	Mariah Colombo, g1 PR	https://g1.globo.com/pr/oeste-sudoeste/noticia/2025/05/01/cientista-brasileira-ganha-oscar-verde-por-conservacao-de-oncas-pintadas-e-ararinhas-azuis-no-parana.ghtml
36	Elevação acentuada do nível do mar surpreende pesquisadores da NASA	CNN Brasil	verdade	Menciona fontes confiáveis: CNN Brasil e referência a estudo da NASA.	Não informado	https://www.cnnbrasil.com.br/blogs/pedro-cortes/nacional/brasil/elevacao-acentuada-do-nivel-do-mar-surpreende-pesquisadores-da-nasa/
37	Doses de reforço são necessárias para manter proteção contra a Covid	Butantan.gov	verdade	Menciona fontes confiáveis: Instituto Butantan, informação científica validada.	Não informado	https://butantan.gov.br/covid/butantan-tira-duvida/tira-duvida-fato-fake
38	"Estudo revela que aquecimento global provoca mudanças na cor dos oceanos; entenda"	O Globo	verdade	Menciona fontes confiáveis: O Globo, estudo científico referenciado.	Thamila Soares	https://oglobo.globo.com/mundo/clima-e-ciencia/noticia/2024/12/11/estudo-revela-que-aquecimento-global-provoca-mudancas-na-cor-dos-oceanos-entenda.ghtml
39	Riscos de parada cardíaca e de morte em cirurgias no Hospital das Clínicas da Faculdade de Medicina de Botucatu caíram 55% em 18 anos	Jornal da UNESP	verdade	Menciona fontes confiáveis e especialistas: dados oficiais da UNESP, pesquisa médica comprovada.	Mônica Tarantino	https://jornal.unesp.br/2025/04/30/riscos-de-parada-cardiaca-e-de-morte-em-cirurgias-no-hospital-das-clinicas-da-faculdade-de-medicina-de-botucatu-cairam-55-em-18-anos/
40	Sul, Sudeste e Nordeste registram seca mais intensa em abril de 2025	ClimaInfo	verdade	ClimaInfo citando dados de agências meteorológicas.	Agência Brasil via AgênciaSertão	https://climainfo.org.br/2025/05/26/sul-sudeste-e-nordeste-registram-seca-mais-intensa-em-abril/
